horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
5,rf_roll3_caret_cv,0.6984962414517356,0.7980525338896013,0.29855556033304437,1,variance,5,Fold7
5,rf_roll3_caret_cv,0.6940761426508049,0.801718467250678,0.2985742513288968,1,variance,10,Fold7
5,rf_roll3_caret_cv,0.6902373882709818,0.8071549463180476,0.2977663074153942,1,variance,20,Fold7
5,rf_roll3_caret_cv,0.6473055505164294,0.8215311901618583,0.27378888024486214,1,variance,5,Fold8
5,rf_roll3_caret_cv,0.6393411938551871,0.8271859841944864,0.2717070144178037,1,variance,10,Fold8
5,rf_roll3_caret_cv,0.6353777113531136,0.831770299788848,0.27076710676070065,1,variance,20,Fold8
5,rf_roll3_caret_cv,0.7085302326222801,0.7953975323882861,0.301244851893308,1,variance,5,Fold9
5,rf_roll3_caret_cv,0.7025365481174386,0.8005217134445297,0.3001255978972893,1,variance,10,Fold9
5,rf_roll3_caret_cv,0.692548438542439,0.8071703444398473,0.2966869094223266,1,variance,20,Fold9
6,rf_roll3_caret_cv,0.8061571978190814,0.6139247099408623,0.2880048836826493,1,variance,5,Fold1
6,rf_roll3_caret_cv,0.7980671873205959,0.6225950280832976,0.2848799525660723,1,variance,10,Fold1
6,rf_roll3_caret_cv,0.7905501543859741,0.6305638912836037,0.28296874218129,1,variance,20,Fold1
6,rf_roll3_caret_cv,0.7443893194494823,0.7707998482153517,0.3068381052178329,1,variance,5,Fold10
6,rf_roll3_caret_cv,0.7330168880456259,0.7786339433785833,0.3036535662438974,1,variance,10,Fold10
6,rf_roll3_caret_cv,0.7220869270629882,0.7865286571723709,0.300121967981015,1,variance,20,Fold10
6,rf_roll3_caret_cv,0.7485216115239248,0.6982539688843944,0.29030383300188994,1,variance,5,Fold2
6,rf_roll3_caret_cv,0.7445644161848002,0.7021060787346101,0.2890219634335825,1,variance,10,Fold2
6,rf_roll3_caret_cv,0.7377311928951206,0.7090194590505147,0.28653576538221237,1,variance,20,Fold2
6,rf_roll3_caret_cv,0.8822887676398616,0.6001149460019631,0.3134261286241812,1,variance,5,Fold3
